zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
49265,STANDARD,0,Onsted,,,MI,Lenawee County,America/Detroit,517,NA,US,42,-84.19,4700
49266,STANDARD,0,Osseo,,,MI,Hillsdale County,America/Detroit,517,NA,US,41.82,-84.53,2530
49267,STANDARD,0,Ottawa Lake,,,MI,Monroe County,America/Detroit,734,NA,US,41.76,-83.74,3730
49268,STANDARD,0,Palmyra,,,MI,Lenawee County,America/Detroit,517,NA,US,41.87,-83.94,1000
49269,STANDARD,0,Parma,,,MI,Jackson County,America/Detroit,517,NA,US,42.25,-84.59,5400
49270,STANDARD,0,Petersburg,,,MI,Monroe County,America/Detroit,734,NA,US,41.89,-83.71,5670
49271,STANDARD,0,Pittsford,Prattville,,MI,Hillsdale County,America/Detroit,517,NA,US,41.9,-84.43,1850
49272,STANDARD,0,Pleasant Lake,,,MI,Jackson County,America/Detroit,517,NA,US,42.39,-84.34,2280
49274,STANDARD,0,Reading,,,MI,Hillsdale County,America/Detroit,517,NA,US,41.83,-84.74,2960
49276,STANDARD,0,Riga,,,MI,Lenawee County,America/Detroit,734,NA,US,41.78,-83.79,910
49277,STANDARD,0,Rives Junction,Rives Jct,,MI,Jackson County,America/Detroit,517,NA,US,42.38,-84.46,2890
